Group,Scenario,Recovery_status,Recovery_time,Reaction_time,Response_time,Accuracy,Alarms_silenced,Alarms_ack,Mimics_opened,No_of_procedures,No_of_alarms,Consequence,Overall_performance
G4,S1,Optimal,60,111,115,0.00130021684969519,1,1,6,2,1,Safe,Optimal
G4,S1,Optimal,60,73,371,2.49E-06,1,1,2,0,1,Safe,Optimal
G4,S1,Optimal,60,34,509,0.00454833392498287,1,1,1,2,1,Safe,Optimal
G4,S1,Optimal,144,267,273,0.00289729539775111,2,2,2,3,2,Safe,Optimal
G4,S1,Optimal,60,25,140,1.61150133605482,1,0,1,0,1,Safe,Optimal
G4,S1,Optimal,60,35,432,11.1833259840444,1,1,1,2,1,Safe,Optimal
G4,S1,Optimal,60,44,256,0.974518983235623,2,2,0,2,2,Safe,Optimal
G4,S1,Optimal,60,32,395,8.73807845841196,2,2,2,3,2,Safe,Optimal
G4,S1,Good,809,581,596,0.00249999999999989,2,1,2,2,2,Impurity of air in tank atmosphere,Poor
G4,S1,Optimal,60,26,298,0.974518983235623,1,1,1,2,1,Safe,Optimal
G4,S1,Optimal,60,66,75,1.55820003643786,1,0,3,0,1,Safe,Optimal
G4,S1,Optimal,60,140,143,0.0641458062394649,1,1,6,3,1,Safe,Optimal
G4,S1,Optimal,60,65,68,0.00185893068215814,1,1,3,2,2,Safe,Optimal
G4,S1,Optimal,60,37,145,1.72812934027778,1,1,2,2,1,Safe,Optimal
G4,S1,Optimal,60,39,44,0.36736951987937,1,1,2,2,1,Safe,Optimal
G4,S1,Optimal,60,27,60,1.95013293152941,0,1,3,2,1,Safe,Optimal
G4,S1,Optimal,60,75,153,0.00185893068215814,1,1,2,2,1,Safe,Optimal
G4,S1,Optimal,60,33,36,0.840172598434059,1,1,5,2,1,Safe,Optimal
G4,S1,Optimal,233,289,295,0.00185893068215814,2,1,1,2,2,Safe,Optimal
G4,S1,Optimal,60,79,540,11.9025,1,1,1,2,1,Safe,Optimal
G4,S1,Optimal,60,45,455,0.000177930803617719,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,31,53,0.287447498227788,1,1,2,2,1,Safe,Optimal
G4,S2,Poor,566,256,369,0.0235053147189035,2,2,2,3,2,Plant Shutdown,Poor
G4,S2,Optimal,60,28,45,0.270230461365784,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,50,65,0.281649500237528,1,0,2,2,1,Safe,Optimal
G4,S2,Good,555,33,582,0.000508698605860116,3,3,1,4,3,Impurity of air in tank atmosphere,Poor
G4,S2,Optimal,60,48,107,0.24945681710775,1,1,2,2,2,Safe,Optimal
